speaker_id,task,meanF0,stdevF0,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,localShimmer,localdbShimmer,apq3Shimmer,aqpq5Shimmer,apq11Shimmer,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,speech_rate,articulation_rate,avg_syllable_duration,mean_pause_duration,mean_speech_duration,silence_rate,silence_to_speech_ratio,mean_silence_count,SNR
spk1004,picnic,167.69941341044952,54.86750171207243,12.893217611941346,0.021480392681216605,0.00012788639601358205,0.011110737897423914,0.011240902908031286,0.08160380160454973,0.8193255904726007,0.032699483868425736,0.04139029154991638,0.0719362466130107,812.5150386712976,782.9073162693367,2144.0075501268193,2244.5971344625277,3082.303981525189,3075.693737719501,4162.176562044945,4249.519101043915,1.7470334610849056,3.4930950446791846,0.2862790697674368,0.30757879818594097,0.31564102564102575,0.49986088590802774,1.0256410256410255,1.6251474056603774,91.26508612113582
spk1005,picnic,161.6274877056017,46.71942218888502,11.879429574733113,0.016497530592819727,0.00010249812093112214,0.008122256217318638,0.008333162985663096,0.08929982710057219,1.002285617041546,0.03342564017270957,0.04674204592140566,0.08277935821767056,803.3391975449235,679.8468048472823,1898.7669185049895,1882.175555169919,2935.40137199237,2778.5391925174295,3936.9108711696776,3964.8130806047593,2.7449324324324325,3.4836980794996677,0.28705128205129105,0.16286486486486473,0.6219444444444445,0.2120636261261015,1.0277777777777777,1.3020833333333333,417.9772803414236
spk1006,picnic,120.42351337379615,40.68638074159284,16.70954684139888,0.03121233509943791,0.00025967113179885737,0.013987433083328265,0.013657213085914057,0.0789165758325678,0.7867078886165253,0.02620804284295851,0.03714356438301834,0.07427761990340108,807.9576034290606,878.508730607664,1980.8974691102462,2041.083806857247,3059.5671141035077,3039.3582567210287,4225.658271338598,4204.42168380771,0.7277567675159236,3.497757847533693,0.28589743589743094,0.4878084291187738,0.12965116279069785,0.7919362062101947,1.0116279069767442,1.6234574044585985,53.6287678875385
spk1007,picnic,150.96136904355373,80.00068045262182,9.55579816637125,0.021186961509654184,0.0001418781884942479,0.010643413083371338,0.011782888347003391,0.12687288838957814,1.2013560288963323,0.05261066655107543,0.07278986251849771,0.12489285162703755,785.8670060384583,724.2892064456988,1795.5730667235505,1854.1857530178727,2737.044594882469,2677.954383341112,4033.4963752189633,4038.6699578023813,2.6351448580199537,3.4980897803244893,0.2858703071672558,0.29493906810035825,0.9104347826086958,0.24669033000762117,1.0108695652173914,0.8364111665387567,71.17778952705486
spk1009,picnic,103.35384055679886,75.64450761807406,7.097036634482356,0.023691792360247352,0.0002332533686193904,0.009922703358408978,0.011611862075198884,0.11539329481067721,1.0572171858389288,0.0490791300068749,0.06696961640693204,0.1131975035754373,729.8982832485624,576.689865562453,1868.1460108218387,1932.9910174624038,2855.586571874185,2704.017785183417,4243.911745135857,4235.52660854204,2.4820963541666665,3.481735159817364,0.2872131147540974,0.1959999999999999,0.5005714285714287,0.2871093750000025,1.0285714285714285,1.46484375,52.37947435658584
spk1012,picnic,106.8135558994468,76.15743859136617,8.494674075959443,0.0192386156941373,0.00018212772285773634,0.008440586974506255,0.01013095658251001,0.12322990318392,1.2223890497948189,0.051402076095952126,0.07013540286492305,0.14342047607338673,870.2628706992349,745.4503102073264,1829.736462420375,1834.7219057317807,2779.6705638912636,2755.507478446725,3817.314767544015,3683.7441842409507,2.6887175324675323,3.49143610013179,0.28641509433961954,0.16995000000000018,0.5764556962025315,0.22991071428572263,1.0126582278481013,1.3528138528138527,65.09049810124597
spk1013,picnic,192.28602118458673,166.93405834912213,6.845325686893768,0.03273672705275033,0.0001808357642086015,0.015541041722003561,0.0181513665260691,0.16980960225929265,1.5378809769414403,0.07034920461086848,0.10109339325355035,0.16621663283695096,814.1931671226637,650.6572127061803,1912.5158293429206,1928.5050369820337,2932.6554351191535,2963.48916379991,3984.566982024486,4064.155014578842,1.7415774559193955,3.4973325429757303,0.2859322033898278,0.23953990610328632,0.24100000000000008,0.5020269206549166,1.0142857142857142,2.0957965994962215,121.21820715588865
spk1015,picnic,106.57606414492622,20.410840419524863,13.16058691399773,0.01952820373534592,0.00018274801248121012,0.0064902504144199015,0.00808638989686646,0.0980828176027154,0.917928059684861,0.03356057840152277,0.05236573959680491,0.10257442726832429,717.1270189976294,626.4039455639181,1705.2713957617084,1716.102907505839,2754.6470424935087,2776.4711305837955,3988.4297271151486,3947.789675129678,1.6466567095588236,3.5182679296346953,0.2842307692307649,0.23998769031422088,0.21735294117647064,0.5319694967830954,1.0294117647058822,2.216653262867647,61.9929389053586
spk1019,picnic,218.88722075460353,46.8299666233676,14.427337372378775,0.015624046491978943,7.158162011143229e-05,0.006730166702243505,0.007794052507717737,0.08066240700770409,0.8675673427726485,0.02800827716605931,0.04341522258414392,0.08756897242372759,713.6184225317727,636.9945137983341,1724.3766007314514,1679.2953529077106,2616.8142911558007,2546.325415154546,3549.5365953417636,3563.6579654837124,2.828663793103448,3.4880099657425223,0.28669642857144806,0.14122012578616322,0.6175000000000004,0.189032192887876,1.0192307692307692,1.3385641163793103,63.15811466939453
spk1020,picnic,243.28073396540213,44.978219066597944,16.394325886445973,0.013739864246309576,5.667317083381706e-05,0.006141647627656781,0.007056333039398846,0.07993174167664244,0.786906976276201,0.033992865519646955,0.041698950785036486,0.0734965037867957,613.2083952224427,560.4974531065624,1818.709950574375,1924.7157348535807,2816.5653026019054,2956.733285690986,4064.006190837307,4160.347965403449,2.8227645985401457,3.488372093023314,0.2866666666666619,0.1593333333333334,0.7276923076923076,0.1908074817518383,1.0769230769230769,1.197536496350365,62.441777175070605
