speaker_id,task,meanF0,stdevF0,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,localShimmer,localdbShimmer,apq3Shimmer,aqpq5Shimmer,apq11Shimmer,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,speech_rate,articulation_rate,avg_syllable_duration,mean_pause_duration,mean_speech_duration,silence_rate,silence_to_speech_ratio,mean_silence_count,SNR
spk1,max_phonation,102.09331502141431,1.4423517768203895,20.23647798161504,0.005616654317333114,5.500556595903238e-05,0.0032222624385946554,0.0032579590728684187,0.04666836247837007,0.48740885038146964,0.017580415604930465,0.02696070421755276,0.05646088100610488,672.7694901171817,644.0822491213426,1335.077046228855,1271.5371151327445,2576.4094539819007,2466.8472611298766,3519.1735885158746,3461.5054385474805,,,,,,,,,81.5743791423792
spk10,max_phonation,132.55065784901788,3.337960052690218,13.06969712365076,0.006859321644143543,5.173995605164423e-05,0.0038316584898344546,0.0037252155509155975,0.1089825377177175,1.0479851943140388,0.038810345479818494,0.05525709998855499,0.09869606187613318,792.1850460889776,759.1342775904824,1341.4795639485799,1263.8184455551896,2673.8762985333665,2599.695618545539,3891.6279883365596,3912.4617434784845,,,,,,,,,382.25449430520393
spk100,max_phonation,180.81093933814572,15.891923403695905,21.52116696408758,0.01572155168106781,8.731299581857478e-05,0.009884514809247598,0.010772997930694998,0.04030427893141872,0.4210940534966979,0.02231811164050636,0.02385321271174208,0.029681986551884195,737.7989551709813,785.5868921835557,1417.9661487439516,1370.0944077308181,3021.961647352237,3152.5747634891104,4180.398269663124,4109.233900409166,,,,,,,,,100.87602944430087
spk1000,max_phonation,126.2376675048953,43.56409520399336,15.546296700306815,0.006679893308346863,5.2897224532740245e-05,0.0037237393618202025,0.0038010478108745287,0.0881350642765266,0.863880822436168,0.04478070883770489,0.047142713314148085,0.06687298971039929,787.2295932276887,831.6574932494705,1356.6054389391163,1319.5455020391532,3043.782868270828,3129.045807800426,3985.6777371883004,3904.6691171707,,,,,,,,,75.63455470758785
spk1001,max_phonation,149.8216465643748,45.040423650054734,22.55249477999964,0.003846199711281851,2.5746456260515514e-05,0.0020608945778423865,0.0018625433132668492,0.042121204157388244,0.3793004825572446,0.024152021689883972,0.022732535173165338,0.029132243313872017,805.7582538579837,726.7433186448667,1436.1782399858566,1265.591302316294,3113.8286637681754,3092.830735475219,3802.1962879769694,3817.6776581104177,,,,,,,,,80.64784069389506
spk1002,max_phonation,163.66377225942855,2.679312976197276,11.069666859411253,0.0054120913252268385,3.30811524119354e-05,0.003070579127692402,0.003024241562470448,0.12086580040377846,1.1449123467995352,0.06200466269689037,0.09994657547526707,0.08856665969966578,775.8906377940472,755.6092060340918,1776.7660197465862,1757.040702997087,2728.458420394892,2723.87412072133,4077.8603882462244,4103.354129937525,,,,,,,,,85.6909225777797
spk1003,max_phonation,201.2246446652261,25.750789342427005,23.958436610054772,0.005560041491634114,2.765829045117404e-05,0.003319602924916931,0.002803340338240127,0.036174814705728614,0.452258166907328,0.01942583277930424,0.018910960335238824,0.02880807236520491,617.2450665584314,612.6992797025263,1341.865134122528,1276.040833357316,3035.8449567749017,3097.751244043465,4051.256487665795,4101.555891378402,,,,,,,,,59.480642675022324
spk1004,max_phonation,190.9102913315264,42.65946392828965,16.28830301793629,0.009352372118635323,4.910189132774303e-05,0.005407863400710473,0.005005952209924851,0.07721426651917171,0.7078599975886248,0.042265949331568915,0.046096703948749734,0.056567424403554334,827.8009650983586,820.4186968635233,1501.2645703227981,1292.7595433463903,3027.300903576581,3020.260793913608,4058.717354433728,4050.9868293498657,,,,,,,,,65.71925837737109
spk1005,max_phonation,151.70135793429117,30.34177427358393,16.814550738179395,0.004481314411563993,2.95419352067913e-05,0.0025976245943608372,0.002412709971436142,0.0578397236681417,0.6033168072488053,0.029466353903185874,0.03276497325669948,0.048634738440953194,865.7297856260502,833.8767012165129,1642.3693031206258,1637.124406510954,2713.5741538782495,2605.12145615617,4234.529684617504,4292.883840003959,,,,,,,,,414.15904713451437
spk1006,max_phonation,159.54330399203462,11.327016938452621,26.723653354804096,0.004629224463976907,2.902344272031754e-05,0.0026161538992340895,0.002496929002873704,0.029412710188636147,0.2367184173903008,0.015964622453693105,0.015817652907554828,0.018976794221196056,358.3074100157686,285.1721914028431,1170.3900671800045,976.8585936841793,2955.329004552992,2912.332455892412,3956.0744352809966,3886.012003966261,,,,,,,,,46.216326636199184
spk1007,max_phonation,133.16514021695875,1.0064220180902606,18.984184691960053,0.0028396298261358977,2.1323014443402016e-05,0.0015250474489502772,0.0015107275238334104,0.03636424148772496,0.35470052676243036,0.018199734226645354,0.02207588762078382,0.03279041352713242,764.3885267245813,756.8044012557172,1105.7747081030586,1057.8957546189524,2714.378745411777,2715.2809227612315,3722.7849512077128,3714.429152868812,,,,,,,,,67.48030865592132
spk1008,max_phonation,103.75532108535297,3.3758448909273584,12.020265282055874,0.007220854633933581,6.962054066138827e-05,0.003881281962098295,0.004298928919498253,0.05656110235418085,0.6237386154543995,0.02867876774984759,0.03517763267111902,0.05372122677049775,737.8536464956613,684.3604354278648,1424.170411229604,1067.8922553316197,2853.375096867349,2449.305860140833,4017.350697520992,3818.727553830947,,,,,,,,,64.04178778619661
spk1009,max_phonation,144.36326448919908,91.32082883946585,12.729714781550157,0.01178907422812673,8.336137862085624e-05,0.004750887225018088,0.00523936517061998,0.03786901393438068,0.4695716324878752,0.019330076192099987,0.022719609344068036,0.03075328064595699,844.0781670322376,818.1253461583528,1840.9382686832855,1838.3825937906688,2963.030526300342,2961.5798386279703,4196.579315207295,4172.101440091604,,,,,,,,,62.802580492327756
spk101,max_phonation,115.93319769890364,3.49926743339353,17.656593990273855,0.003790076999446911,3.268737644126485e-05,0.0017886886365410903,0.0020127991468964174,0.060733363510357574,0.6563145967227855,0.02924993549065833,0.03665539245512858,0.05365081683636162,518.9572993957901,507.54836453607453,950.580133543955,917.4921248238314,2793.3185555534897,2787.60213555473,3429.30559681638,3305.2407221584444,,,,,,,,,42.813630819228536
spk1010,max_phonation,97.35239364896431,6.882712482628138,4.667804844347875,0.13180675424511065,0.0013419448776498463,0.08607627207620781,0.05949798182265987,0.15652074013520648,1.3653980769353933,0.09557492388926707,0.08038310590073078,0.09172560008138204,690.9621854076398,597.6739199070047,1552.537995344673,1207.1475808612843,3079.1397477960036,2954.259563021324,3905.815561719518,3800.767021505952,,,,,,,,,62.612916595115095
spk1011,max_phonation,164.2548664577657,69.87452484277784,13.304843586988886,0.01128443521185743,6.856441423476104e-05,0.006377992229506754,0.006154239588510732,0.0703019569354859,0.7792316689125317,0.03387308305935454,0.03874806771292454,0.04817983671225135,736.4201152086935,738.3397896943553,1369.5448340254572,1377.4260655938551,2226.423027628143,2213.3691415726566,3805.548027193991,3815.995592582428,,,,,,,,,38.160584405477564
spk1012,max_phonation,89.45485534406035,9.844317618328871,8.560490308981024,0.010738928451111405,0.00011997457055065671,0.006173234608417055,0.006723110059626548,0.13037206797111492,1.248128543894099,0.07473784370572961,0.08668915032529048,0.10143031266328854,721.8291732682555,667.3552183719487,1221.8143372924312,1059.3028136525008,2691.2846510840864,2628.07130506887,3671.2377797198133,3544.954995577822,,,,,,,,,61.9561173540904
spk1013,max_phonation,105.25600932108362,1.3556675824295856,6.849708882237428,0.00945025771435157,8.988367016169217e-05,0.005457093307490354,0.005105687367473209,0.12845946093541577,1.2886194258151478,0.06960220734272284,0.08403948451435887,0.11002674489773087,778.336574607118,748.4044121198345,1600.539086948006,1459.871510183051,2814.4640902952406,2760.5615928220027,3906.7496891069636,3820.7435008699617,,,,,,,,,73.33789465467291
spk1014,max_phonation,146.8832380236913,70.35153089921509,15.087614015996671,0.008221073003354498,5.606903587426978e-05,0.004624932264967987,0.004861604895642612,0.07700095083513514,0.8501139336305759,0.037149721185270795,0.04790492846121957,0.08085957799933047,725.7775402202976,728.6620197109181,1284.176648958387,1151.7885550859767,2769.941510285695,2754.9905947531597,4018.0243117711866,3953.0469927405375,,,,,,,,,56.94282110037804
spk1015,max_phonation,103.97521806116599,8.034840187381318,15.403688322241988,0.008801338637733394,8.463229284620677e-05,0.005551415884876147,0.0041771595774210465,0.06939361767233143,0.735285046508233,0.04170765596325955,0.03607797773847524,0.04642354474276276,640.4450885180615,603.591257683723,1321.9134020636086,1236.7349091087806,2273.4201420379736,2193.5129935741224,3846.787400024253,3788.039142101544,,,,,,,,,50.56203111010762
spk1016,max_phonation,124.53855842222826,7.2971307941729755,21.551127255604555,0.006519655066827626,5.2383903249877606e-05,0.0036346145698561583,0.003492983287816676,0.035709322300643505,0.46945893764493485,0.017958312981719106,0.022462414046849868,0.028928568452482015,583.3043548993451,479.61028649286277,1354.016732505941,1211.2577641939379,2537.4655380790855,2445.4513023635755,4548.990233451382,4609.244687272061,,,,,,,,,60.349753175143746
spk1017,max_phonation,216.52848991418543,35.82753043045926,19.225873898408313,0.003543033025886691,1.641088115064336e-05,0.0019918494267723587,0.0021321093012270256,0.04025929683215061,0.5028474281289955,0.019942016516060836,0.02160910587159049,0.03401459963130474,919.514790611334,888.4976633186822,1572.1627283610192,1556.0237033774843,2319.598301420363,2140.5191479152327,3641.6710038191814,3601.3788211027586,,,,,,,,,415.3265003778849
spk1018,max_phonation,107.47206377155445,46.27277601108415,13.598320671321147,0.01307829894902747,0.00012301709055496989,0.007396368843685536,0.007485611858690611,0.10437831047111717,1.0482011090490737,0.04839452696943425,0.06198868260207492,0.1010316806325725,666.2628137310054,663.4186848484783,1355.4530577030032,1354.6528692851523,2837.25118412739,2816.0912650108203,3809.560814190642,3740.63271115041,,,,,,,,,74.35572423687931
spk1019,max_phonation,322.9268979047533,9.002271149279867,23.72105268025228,0.0035484191547694613,1.0990500638409828e-05,0.00208130517775929,0.002163138114492784,0.042628332581402605,0.39469855967845113,0.025099546808412268,0.026851761503187303,0.027031424809546876,1009.3129354677055,1021.2358606216462,1603.2765151701024,1591.8021361802896,2754.333537402593,2843.1531559986242,3708.3666407710452,3825.1950713540546,,,,,,,,,50.3633194943066
spk102,max_phonation,196.96513558180533,45.52419034280759,24.270901084709365,0.006320618237314723,3.209339959402359e-05,0.003914285084209228,0.0029833184521743635,0.029435219795013325,0.2868268439030554,0.0170889607563969,0.016005099307959486,0.020237808129747938,743.8343625017147,826.6619675679627,1491.5011188941096,1431.6388441394647,2995.012379965134,2990.8192191108947,4445.837467274162,4478.953637908663,,,,,,,,,67.03659725627637
spk1020,max_phonation,199.97954517850002,86.60238176811521,18.927370685943917,0.005996637945490526,3.0200273351570426e-05,0.0035585592759766415,0.0033725535201675322,0.05826768777113907,0.6251012551979893,0.027683958336070125,0.03247579426572694,0.04557063218820643,753.4075856372433,734.983711170782,1488.7750991640771,1510.8689285745356,2937.733975768039,3108.5012321825566,3786.6493429801903,3861.630263363343,,,,,,,,,65.87852649293953
spk1021,max_phonation,166.02705062728938,13.696663923667794,21.374377875675066,0.004441767362749792,2.6766434190503752e-05,0.0019208030551944337,0.002306601109130404,0.034946750722353113,0.330255097689214,0.01638815659143414,0.021027563749063224,0.03451148385061726,754.1554860717795,738.267393184495,1243.1304387292344,1189.307362569286,2373.4454889028957,2357.9820074819227,3408.0805498086684,3473.7809139851224,,,,,,,,,85.24029275568019
spk1022,max_phonation,152.91869707731394,21.604874432592066,15.699437162947754,0.004260780464588706,2.786908541466284e-05,0.0023960767150712657,0.0024714815786312113,0.07627082649228722,0.706484169493835,0.04315922811555079,0.04667715935664783,0.05534770472514694,765.0425422985696,760.1581196476974,1411.258798741806,1391.5743543445433,2671.6991339533397,2671.850085746494,3582.389315312192,3574.7730806013406,,,,,,,,,61.31346461690091
spk1023,max_phonation,232.45389795228346,18.651567770372445,28.313051520221013,0.002840951696164883,1.2224965340351772e-05,0.0015425741587032213,0.0014012285430123005,0.020649408217674022,0.2435138052030163,0.011391797141557499,0.011971070461324678,0.015105397830171337,979.6373340176043,934.9857454023056,1437.3434580859946,1359.1654574815445,2508.735977984394,2406.7125944113736,3606.3323964941915,3611.281659733915,,,,,,,,,62.35201703146193
